,ID,NAME,r ankle_X,r ankle_Y,r knee_X,r knee_Y,r hip_X,r hip_Y,l hip_X,l hip_Y,l knee_X,l knee_Y,l ankle_X,l ankle_Y,pelvis_X,pelvis_Y,thorax_X,thorax_Y,upper neck_X,upper neck_Y,head top_X,head top_Y,r wrist_X,r wrist_Y,r elbow_X,r elbow_Y,r shoulder_X,r shoulder_Y,l shoulder_X,l shoulder_Y,l elbow_X,l elbow_Y,l wrist_X,l wrist_Y,Scale,Activity,Category,center_X,center_Y
580,581,002709599.jpg,625,400,652,375,685,332,651,320,620,360,580,412,668,326,703,239,703.6898,229.757,707.3102,181.243,724,280,747,299,737,250,669,227,643,266,669,254,1.459468396369034,"skiing, downhill",winter activities,668.0,326.0
587,588,017854466.jpg,899,838,916,715,892,595,1024,578,1031,691,1022,821,958,587,955,486,946.4135,528.9325,967.5865,423.0675,851,766,817,631,873,518,1036,453,1118,528,1164,624,3.2388442383047686,"skiing, downhill",winter activities,958.0,586.5
591,592,024317219.jpg,639,701,749,622,838,507,970,556,891,657,797,724,904,532,1005,357,1002.2612,372.3675,1025.7388,240.6325,769,385,802,327,894,314,1115,400,1133,495,1138,568,4.014318373024243,"skiing, downhill",winter activities,904.0,531.5
592,593,072226693.jpg,1370,687,1298,641,1224,581,1351,542,1423,614,1491,667,1288,562,1201,412,1203.271,427.5182,1186.729,314.4818,1072,537,1096,489,1120,444,1281,379,1361,395,1399,415,3.427213445351777,"skiing, downhill",winter activities,1287.5,561.5
594,595,083021986.jpg,844,865,868,708,880,509,995,497,1017,701,1029,867,938,503,911,311,911.0,315.0,908.0,187.0,779,460,759,388,815,319,1007,302,1056,419,1050,535,3.831966596931659,"skiing, downhill",winter activities,937.5,503.0
596,597,066808514.jpg,821,834,837,679,840,466,964,452,980,663,975,817,902,459,891,278,892.0303,270.7276,906.9697,165.2724,793,490,781,399,809,286,973,270,1039,338,1064,370,3.195246469366644,"skiing, downhill",winter activities,902.0,459.0
598,599,029314773.jpg,1384,576,1270,496,1263,405,1341,380,1414,480,1537,553,1302,393,1241,235,1259.1732,254.1052,1183.8268,174.8948,1227,421,1181,370,1179,263,1302,206,1368,272,1355,334,3.279668275908403,"skiing, downhill",winter activities,1302.0,392.5
625,626,017167929.jpg,148,411,184,380,172,336,205,339,213,367,197,414,189,338,215,298,211.573,305.5393,228.427,268.4607,169,329,170,317,198,290,231,305,232,329,242,354,1.2218805178903542,"skiing, downhill",winter activities,188.5,337.5
629,630,011775108.jpg,160,317,199,261,221,199,268,221,229,270,199,323,245,210,285,144,287.4284,138.6373,306.5716,96.3627,175,178,216,160,261,134,308,154,312,195,327,233,1.3922068811782249,"skiing, downhill",winter activities,244.5,210.0
632,633,055417800.jpg,547,381,546,330,559,293,594,298,580,331,602,383,577,296,592,254,594.9614,250.9399,619.0386,226.0601,527,282,545,260,571,246,612,261,625,288,635,299,1.0386760804023552,"skiing, downhill",winter activities,576.5,295.5
668,669,010659825.jpg,739,893,713,703,706,533,816,540,807,694,773,804,761,537,729,374,722.6222,360.88,665.3778,243.12,636,598,629,480,670,393,788,355,891,451,800,509,3.928089612012435,hacky sack,sports,761.0,536.5
669,670,007513778.jpg,621,631,621,519,631,398,692,397,685,504,686,610,662,398,664,275,664.4695,271.1971,673.5305,197.8029,603,374,575,317,612,280,716,270,742,304,729,385,2.2185400604902314,hacky sack,sports,661.5,397.5
670,671,072818876.jpg,131,930,150,722,138,490,110,469,115,722,103,909,124,480,110,316,130.4859,292.6639,204.5141,208.3361,108,450,45,383,127,320,92,311,15,366,78,434,3.366336881537556,hacky sack,sports,124.0,479.5
671,672,049549132.jpg,886,653,966,531,886,468,783,479,771,621,760,785,835,474,858,291,876.0,271.0,946.0,201.0,1033,341,959,305,922,292,794,290,720,336,745,458,2.9598918899176034,hacky sack,sports,834.5,473.5
672,673,068840240.jpg,852,880,798,742,866,564,879,574,769,760,779,956,873,569,867,376,866.1598,374.8533,782.8402,261.1467,724,247,737,320,855,357,879,394,926,501,957,616,4.22897434373868,hacky sack,sports,872.5,569.0
673,674,043482734.jpg,1056,662,1063,532,1039,418,1104,431,1106,554,1092,666,1072,425,1096,296,1099.6905,291.2761,1142.3095,236.7239,980,398,983,326,1048,288,1144,304,1139,348,1139,413,2.076797534667258,hacky sack,sports,1071.5,424.5
674,675,024640203.jpg,676,865,671,687,676,441,794,446,767,598,770,795,735,444,741,265,741.1078,266.3048,730.8922,142.6952,596,504,616,381,652,266,830,263,854,369,861,499,3.7209289162788375,hacky sack,sports,735.0,443.5
677,678,069469647.jpg,808,457,804,372,830,309,877,309,841,401,856,457,854,309,850,237,842.9791,220.3505,822.0209,170.6495,808,283,819,265,826,238,874,235,893,264,888,308,1.618176751779607,hacky sack,sports,853.5,309.0
678,679,027214514.jpg,674,482,663,386,699,281,756,285,712,418,759,510,728,283,696,184,692.0,175.0,665.0,103.0,693,303,696,258,680,187,731,180,760,258,716,301,2.298618715663822,hacky sack,sports,727.5,283.0
679,680,059023067.jpg,606,573,565,452,597,310,558,303,507,426,526,549,578,307,554,203,541.6223,176.5373,508.3777,105.4627,633,334,638,252,586,196,522,209,542,265,528,326,2.353958368365932,hacky sack,sports,577.5,306.5
680,681,036097390.jpg,533,567,525,450,504,301,564,293,564,333,569,455,534,297,538,192,537.7987,190.5363,527.2013,113.4637,431,367,458,278,495,198,580,185,578,234,597,282,2.333930590227567,hacky sack,sports,534.0,297.0
681,682,009158207.jpg,551,518,514,432,495,317,566,283,583,350,570,468,531,300,483,176,480.9818,172.7533,439.0182,105.2467,350,274,412,227,436,189,530,162,605,205,551,232,2.3845905308878503,hacky sack,sports,530.5,300.0
685,686,097105825.jpg,330,405,346,338,332,271,375,263,412,305,389,366,354,267,350,179,356.3421,168.2672,382.6579,123.7328,307,259,302,218,328,175,371,183,376,208,408,234,1.551855663391412,hacky sack,sports,353.5,267.0
686,687,094426649.jpg,391,432,418,346,401,239,410,237,402,354,359,300,406,238,396,158,402.3095,146.8833,431.6905,95.1167,290,230,332,200,377,159,415,156,403,201,394,238,1.785703222822874,hacky sack,sports,405.5,238.0
687,688,047421422.jpg,299,288,305,202,286,211,335,232,334,336,316,414,311,222,319,143,319.5444,134.8342,323.4556,76.1658,258,239,272,191,284,142,354,144,375,185,392,216,1.7639591832012436,hacky sack,sports,310.5,221.5
688,689,086204265.jpg,374,342,363,252,312,240,369,244,392,329,358,418,341,242,364,141,369.6365,130.6237,402.3635,70.3763,287,221,285,165,326,132,401,149,401,186,424,223,2.05687141066232,hacky sack,sports,340.5,242.0
689,690,084454940.jpg,251,421,269,330,290,228,232,214,210,305,283,314,261,221,266,121,259.8268,128.7977,291.1732,89.2023,366,213,325,173,305,129,227,113,181,146,170,191,1.5150445538003163,hacky sack,sports,261.0,221.0
690,691,031910047.jpg,345,406,351,310,314,240,368,260,383,320,366,419,341,250,361,141,364.0418,132.4179,385.9582,70.5821,277,216,282,161,329,129,392,153,397,192,410,225,1.9681463360228064,hacky sack,sports,341.0,250.0
693,694,059626988.jpg,150,311,83,328,78,217,154,224,151,340,116,446,116,221,155,99,163.0681,94.7491,239.9319,54.2509,56,194,45,145,110,84,200,114,177,181,170,238,2.606404419885755,hacky sack,sports,116.0,220.5
694,695,023000884.jpg,350,340,305,249,326,233,369,254,372,355,366,463,348,244,351,140,351.1624,139.4705,373.8376,65.5295,293,242,292,190,309,137,393,142,437,199,469,235,2.320193095412535,hacky sack,sports,347.5,243.5
695,696,012056689.jpg,338,375,206,374,252,280,332,279,269,382,-1,-1,292,280,289,119,288.3764,114.5869,276.6236,31.4131,178,255,200,172,231,113,346,125,390,186,414,265,2.52,hacky sack,sports,292.0,279.5
696,697,007695320.jpg,378,443,367,305,355,203,402,204,471,332,387,357,379,204,381,55,380.0,55.0,390.0,-7.0,256,206,294,145,330,58,431,51,522,118,550,186,1.923746345025768,hacky sack,sports,378.5,203.5
697,698,069628878.jpg,201,428,192,338,190,228,244,218,308,281,275,374,217,223,219,110,219.2079,109.1073,235.7921,37.8927,141,227,143,168,177,111,261,109,311,138,335,140,2.1936052516348514,hacky sack,sports,217.0,223.0
698,699,033987496.jpg,243,211,304,138,285,172,325,186,327,291,310,383,305,179,337,90,339.9604,86.0948,381.0396,31.9052,219,172,245,119,302,80,372,100,372,142,377,191,2.04,hacky sack,sports,305.0,179.0
699,700,093906770.jpg,317,290,298,188,235,175,275,202,277,316,261,424,255,189,266,104,271.4535,81.9764,286.5465,21.0236,220,216,214,154,239,95,293,113,304,157,315,185,1.8838089075062787,hacky sack,sports,255.0,188.5
701,702,099793411.jpg,343,376,364,307,349,240,320,231,310,266,320,340,335,236,338,153,338.0114,152.829,340.9886,108.171,431,160,400,152,367,150,309,156,290,197,285,220,1.342713670147139,hacky sack,sports,334.5,235.5
884,885,051771164.jpg,537,406,535,373,540,334,560,334,554,374,557,412,550,334,557,284,554.2144,288.0712,572.7856,260.9288,547,239,528,261,540,281,574,287,566,266,557,244,0.9866306299725346,basketball,sports,550.0,334.0
887,888,003320311.jpg,575,629,539,545,612,465,610,457,573,550,594,642,611,461,607,375,607.8493,379.1756,594.1507,311.8244,557,459,594,415,610,376,604,373,541,337,-1,-1,2.061905914439357,basketball,sports,611.0,461.0
1027,1028,023754413.jpg,260,890,497,1042,462,741,581,736,654,960,-1,-1,522,739,542,444,558.2352,388.6802,606.7648,223.3198,507,636,367,566,469,444,614,444,604,591,721,626,5.17003675035294,track and field,sports,521.5,738.5
1038,1039,047918188.jpg,376,514,287,411,171,311,184,296,320,272,225,292,178,304,276,219,284.1619,216.5435,370.8381,190.4565,288,384,226,322,270,237,282,200,344,229,386,258,2.7155021635049383,track and field,sports,177.5,303.5
1039,1040,002564207.jpg,593,736,618,569,455,476,472,475,357,612,233,569,464,476,566,329,576.5461,325.4201,664.4539,295.5799,371,285,463,318,555,327,577,331,537,423,565,481,2.7850342906327024,track and field,sports,463.5,475.5
1133,1134,012771348.jpg,891,804,792,708,843,590,790,602,715,711,778,848,817,596,665,461,665.5338,461.2515,577.4662,419.7485,840,566,776,509,701,451,629,470,650,571,646,638,2.920712241902649,"skiing, downhill",winter activities,816.5,596.0
2330,2331,088811819.jpg,259,591,298,487,282,346,343,319,444,391,408,498,313,333,331,178,333.9818,160.4075,348.0182,77.5925,283,290,243,245,302,171,359,184,319,238,351,294,2.519885711694084,soccer,sports,312.5,332.5
2384,2385,077910259.jpg,786,710,752,460,549,532,615,530,818,458,874,714,582,531,737,311,740.0,273.0,753.0,100.0,1020,508,818,431,671,313,803,309,967,410,1130,468,5.206396066378354,"rowing, stationary",conditioning exercise,582.0,531.0
2386,2387,069963957.jpg,820,685,745,404,479,535,646,514,822,392,886,669,563,525,630,231,639.5317,176.5898,668.4683,11.4102,785,506,615,413,549,226,710,235,838,365,950,454,5.030848834938295,"rowing, stationary",conditioning exercise,562.5,524.5
2387,2388,083815497.jpg,803,709,604,517,331,491,440,438,660,500,898,687,386,465,273,246,281.8706,203.7233,311.1294,64.2767,225,284,88,383,193,242,353,250,414,406,457,321,4.274493654223854,"rowing, stationary",conditioning exercise,385.5,464.5
2388,2389,080281093.jpg,813,694,603,519,356,448,469,403,655,500,886,652,413,426,283,225,284.2345,213.0182,298.7655,71.9818,282,322,132,356,204,230,361,220,432,322,489,322,4.253487980469675,"rowing, stationary",conditioning exercise,412.5,425.5
2389,2390,096092015.jpg,119,302,156,240,230,230,247,233,185,247,156,323,239,232,247,144,242.1126,120.6739,229.8874,62.3261,125,213,168,186,217,144,277,144,252,201,203,212,1.7884428981658878,"rowing, stationary",conditioning exercise,238.5,231.5
2390,2391,053593508.jpg,89,336,110,278,170,309,219,331,136,288,118,358,195,320,178,218,171.034,195.2023,151.966,132.7977,54,292,107,262,146,219,209,216,178,277,109,306,1.9575821821829091,"rowing, stationary",conditioning exercise,194.5,320.0
2392,2393,015369104.jpg,72,358,87,292,154,330,194,338,115,304,106,373,174,334,151,234,145.5528,213.8254,129.4472,154.1746,42,308,85,282,114,237,188,231,155,297,107,319,1.853601899006364,"rowing, stationary",conditioning exercise,174.0,334.0
2395,2396,092130751.jpg,554,458,822,381,963,386,974,423,742,403,543,502,969,405,1088,221,1083.9198,195.295,1062.0802,57.705,933,305,1027,329,1054,216,1121,226,1066,357,895,335,4.17937794414432,"rowing, stationary",conditioning exercise,968.5,404.5
2397,2398,035492466.jpg,588,512,770,410,1039,451,1030,462,772,415,573,530,1035,457,1074,239,1058.2863,197.7515,1009.7137,70.2485,841,341,968,336,1068,228,1080,249,980,376,817,367,4.093249076222946,"rowing, stationary",conditioning exercise,1034.5,456.5
2398,2399,005198935.jpg,586,468,615,270,816,394,795,410,594,288,576,489,806,402,749,191,737.9506,167.6425,681.0494,47.3575,485,322,640,280,776,181,721,200,592,322,470,336,3.991943887381184,"rowing, stationary",conditioning exercise,805.5,402.0
2399,2400,003174377.jpg,599,468,778,374,996,398,1033,424,762,401,576,501,1015,411,1072,219,1062.5211,186.9047,1024.4789,58.0953,853,326,974,324,1049,208,1094,229,981,379,841,351,4.029284800060675,"rowing, stationary",conditioning exercise,1014.5,411.0
2400,2401,042333514.jpg,937,378,925,289,959,344,897,347,817,328,879,399,928,346,866,225,865.8474,224.8539,819.1526,180.1461,893,276,927,254,894,213,838,236,826,304,855,306,1.9394019696803444,"rowing, stationary",conditioning exercise,928.0,345.5
2401,2402,008456538.jpg,543,446,510,282,694,435,659,450,495,299,532,483,677,443,615,211,611.7993,194.2738,587.2007,65.7262,384,305,514,276,640,208,590,214,427,276,307,309,3.926402933984234,"rowing, stationary",conditioning exercise,676.5,442.5
2402,2403,060684696.jpg,570,478,754,394,980,413,973,444,740,409,556,509,977,429,1075,230,1065.5384,196.5464,1028.4616,65.4536,887,330,968,333,1047,223,1102,237,971,373,838,351,4.0870527278223365,"rowing, stationary",conditioning exercise,976.5,428.5
2403,2404,088097301.jpg,541,466,506,282,673,406,619,433,458,280,520,483,646,420,582,210,576.8397,189.6047,545.1603,64.3953,334,315,485,276,619,200,545,220,427,297,286,328,3.874643725557229,"rowing, stationary",conditioning exercise,646.0,419.5
2405,2406,065904541.jpg,551,475,732,398,912,370,985,437,731,429,531,508,949,404,1099,232,1093.1566,210.9396,1056.8434,80.0604,1025,310,1137,361,1069,236,1129,227,1157,389,1028,322,4.074702443123915,"rowing, stationary",conditioning exercise,948.5,403.5
2406,2407,021123183.jpg,544,491,728,413,962,413,980,444,727,445,516,521,971,429,1119,248,1105.4021,210.8813,1058.5979,83.1187,1000,327,1098,380,1097,243,1141,253,1151,396,1012,329,4.081975992090106,"rowing, stationary",conditioning exercise,971.0,428.5
2407,2408,086299683.jpg,-1,-1,1217,819,1251,595,1415,598,1379,840,-1,-1,1333,597,1357,278,1351.8126,209.3852,1340.1874,55.6148,1203,499,1213,405,1249,280,1465,275,1504,487,1371,427,4.626276256342675,"rowing, stationary",conditioning exercise,1333.0,596.5
2408,2409,088609344.jpg,-1,-1,845,941,612,860,882,817,1065,916,-1,-1,747,839,698,459,708.0,379.0,742.0,129.0,541,612,392,693,522,451,873,466,1012,702,1087,677,7.555160355677436,"rowing, stationary",conditioning exercise,747.0,838.5
2409,2410,019665358.jpg,-1,-1,932,683,702,848,1053,835,1195,674,-1,-1,878,842,944,383,955.1712,302.0992,994.8288,14.9008,835,569,749,522,745,358,1142,407,1260,553,1440,606,8.697707284106542,"rowing, stationary",conditioning exercise,877.5,841.5
2410,2411,073742609.jpg,1117,660,1126,405,1177,528,1273,530,1213,410,1208,674,1225,529,1213,353,1213.1987,311.0703,1213.8013,183.9297,975,468,1047,422,1126,355,1300,350,1288,424,1215,463,3.814263755956056,"rowing, stationary",conditioning exercise,1225.0,529.0
2411,2412,028651955.jpg,-1,-1,1046,873,969,749,1304,724,1322,866,-1,-1,1137,737,1107,346,1095.4951,297.5046,1039.5049,61.4954,919,745,882,556,901,352,1313,339,1422,609,1273,451,7.27679050131306,"rowing, stationary",conditioning exercise,1136.5,736.5
2412,2413,080264031.jpg,928,1068,860,913,742,814,842,792,1118,944,1236,1068,792,803,671,467,684.4574,384.8702,725.5426,134.1298,531,767,438,780,503,476,838,457,953,705,1028,730,7.622522417153,"rowing, stationary",conditioning exercise,792.0,803.0
2413,2414,007103489.jpg,776,503,760,435,706,452,592,466,636,429,683,491,649,459,639,233,637.0234,181.829,631.9766,51.171,793,290,776,282,735,228,543,237,609,255,679,278,3.922660321771438,"rowing, stationary",conditioning exercise,649.0,459.0
2414,2415,021079310.jpg,964,409,966,358,931,397,906,387,959,359,950,413,919,392,944,329,945.6534,324.9493,962.3466,284.0507,1018,372,998,362,960,333,927,325,948,359,980,370,1.325226018458738,"rowing, stationary",conditioning exercise,918.5,392.0
2415,2416,022936578.jpg,783,501,754,472,669,454,594,446,669,441,710,450,632,450,621,267,616.23,222.2812,601.77,86.7188,772,293,799,334,727,280,514,253,499,334,594,288,4.0899408308678495,"rowing, stationary",conditioning exercise,631.5,450.0
2416,2417,046910721.jpg,500,513,412,428,288,500,264,497,386,418,471,509,276,499,312,340,321.6415,307.5338,351.3585,207.4662,505,437,407,423,341,357,283,322,373,395,444,421,3.131609171017354,"rowing, stationary",conditioning exercise,276.0,498.5
2417,2418,026856217.jpg,880,586,870,495,830,559,732,541,769,482,778,530,781,550,810,384,812.737,339.4609,818.263,249.5391,915,488,913,460,881,386,738,381,738,440,767,456,2.7027452710161195,"rowing, stationary",conditioning exercise,781.0,550.0
2418,2419,010097811.jpg,866,377,869,333,877,293,906,293,901,340,895,374,892,293,898,241,896.4719,236.4157,888.5281,212.5843,884,248,875,267,882,241,913,241,903,260,895,243,0.7536152864691639,"rowing, stationary",conditioning exercise,891.5,293.0
2419,2420,016749109.jpg,1161,382,1125,346,1067,357,1048,356,1117,357,1145,373,1058,357,1074,292,1071.1011,273.0455,1063.8989,225.9545,1162,315,1138,307,1100,293,1048,291,1116,307,1142,313,1.4291591933721028,"rowing, stationary",conditioning exercise,1057.5,356.5
2420,2421,014727556.jpg,708,479,576,421,442,455,426,443,570,403,677,455,434,449,371,300,384.3019,262.1584,415.6981,172.8416,495,370,421,402,384,314,357,285,390,347,439,339,2.8402253431726154,"rowing, stationary",conditioning exercise,434.0,449.0
2422,2423,096776147.jpg,538,549,479,437,344,501,310,513,440,431,506,538,327,507,374,343,383.3329,327.4451,427.6671,253.5549,535,445,479,423,402,355,346,330,429,412,487,432,2.5851019322262707,"rowing, stationary",conditioning exercise,327.0,507.0
2423,2424,043974049.jpg,30,874,44,697,121,677,176,675,150,687,107,869,149,676,132,542,129.4032,510.8384,122.5968,429.1616,6,670,30,632,71,548,193,536,202,634,155,668,2.458799707174214,"rowing, stationary",conditioning exercise,148.5,676.0
2424,2425,027836848.jpg,1639,852,1623,730,1553,711,1651,699,1692,739,1716,845,1602,705,1619,570,1619.629,547.3546,1622.371,448.6454,1565,677,1522,660,1560,569,1678,571,1721,646,1736,687,2.9624206318482185,"rowing, stationary",conditioning exercise,1602.0,705.0
2425,2426,079829320.jpg,254,893,254,679,261,756,357,761,367,687,376,891,309,759,314,562,314.1134,541.3546,314.8866,400.6454,203,727,196,670,217,559,410,564,439,672,444,737,4.22134007158864,"rowing, stationary",conditioning exercise,309.0,758.5
2427,2428,029938337.jpg,1582,1023,1606,689,1724,674,1906,679,1791,691,1748,1035,1815,677,1737,409,1729.1774,375.7186,1689.8226,208.2814,1505,720,1536,610,1615,434,1858,383,1902,590,1837,699,5.16,"rowing, stationary",conditioning exercise,1815.0,676.5
2428,2429,023250599.jpg,1320,980,1359,766,1414,626,1520,622,1517,771,1484,999,1467,624,1508,353,1504.9242,334.2215,1473.0758,139.7785,1315,417,1282,436,1371,355,1645,350,1782,468,1652,395,5.9110202165108525,"rowing, stationary",conditioning exercise,1467.0,624.0
2429,2430,025646306.jpg,517,938,485,634,468,734,677,746,711,643,706,958,573,740,587,389,587.3787,351.3848,589.6213,128.6152,373,711,336,603,425,393,749,385,855,614,806,769,6.683429059996072,"rowing, stationary",conditioning exercise,572.5,740.0
2430,2431,035531975.jpg,311,1061,257,769,347,843,408,831,539,715,511,995,378,837,394,545,393.2359,548.6605,437.7641,335.3395,298,915,247,761,247,564,541,526,649,756,692,925,6.537566519738059,"rowing, stationary",conditioning exercise,377.5,837.0
2431,2432,067399421.jpg,309,980,306,588,420,776,605,771,463,590,444,992,513,774,434,402,426.3116,351.8508,397.6884,165.1492,148,694,227,566,306,415,561,388,576,585,472,677,5.66649097766863,"rowing, stationary",conditioning exercise,512.5,773.5
2432,2433,006256484.jpg,1583,1038,1530,795,1454,711,1706,699,1764,850,1855,917,1580,705,1582,403,1581.619,367.9463,1579.381,162.0537,1396,537,1254,585,1439,388,1725,417,1831,554,1785,557,6.1771449715867925,"rowing, stationary",conditioning exercise,1580.0,705.0
2434,2435,058069908.jpg,455,376,363,280,207,326,251,270,358,255,439,337,229,298,248,168,245.056,144.9678,233.944,58.0322,430,236,329,231,233,183,263,153,335,173,406,188,2.62928735591985,"rowing, stationary",conditioning exercise,229.0,298.0
2435,2436,050550876.jpg,444,371,317,327,165,327,183,278,316,297,430,337,174,303,56,179,73.1479,161.3106,133.8521,98.6894,114,259,34,306,34,198,77,160,68,243,142,212,2.616440329913908,"rowing, stationary",conditioning exercise,174.0,302.5
2436,2437,014407879.jpg,433,366,323,299,159,308,199,247,326,274,426,327,179,278,120,162,121.5728,147.1893,130.4272,63.8107,296,216,193,227,93,171,146,152,232,169,290,176,2.515424417469148,"rowing, stationary",conditioning exercise,179.0,277.5
2437,2438,062399849.jpg,456,340,445,229,339,302,302,285,439,212,440,320,321,294,394,150,398.8518,141.5959,445.1482,61.4041,585,234,501,213,413,177,375,122,475,174,539,187,2.7778898466281925,"rowing, stationary",conditioning exercise,320.5,293.5
2438,2439,027364042.jpg,438,338,339,249,187,301,228,238,347,228,436,304,208,270,174,135,193.2505,110.7816,247.7495,42.2184,284,250,206,271,177,160,171,110,246,187,294,188,2.6275342052959085,"rowing, stationary",conditioning exercise,207.5,269.5
